"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
B827EBFFFEEEC460,,2022-09-09 15:28:48.705Z,459242484,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-106,3.5,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,39,30, +2.5, +5.5"
B827EBFFFEEEC460,,2022-09-09 15:28:50.206Z,460742716,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-106,4,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,39,31, +2.5, +5.5"
B827EBFFFEEEC460,,2022-09-09 15:28:51.707Z,462242916,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-107,3.2,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,39,32, +2.0, +5.0"
B827EBFFFEEEC460,,2022-09-09 15:28:53.205Z,463743156,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-105,3.5,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,39,33, -0.2, +4.8"
B827EBFFFEEEC460,,2022-09-09 15:28:54.707Z,465243388,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-107,3.8,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,39,34, +2.2, +5.0"
B827EBFFFEEEC460,,2022-09-09 15:28:56.208Z,466743588,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-106,3.5,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,39,35, +2.2, +5.5"
B827EBFFFEEEC460,,2022-09-09 15:28:57.706Z,468243820,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-106,3.8,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,39,36, +2.0, +5.2"
B827EBFFFEEEC460,,2022-09-09 15:28:59.207Z,469744060,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-104,3.2,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,39,37, +1.5, +5.0"
B827EBFFFEEEC460,,2022-09-09 15:29:00.708Z,471244252,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-107,3.5,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,39,38, +2.0, +5.0"
B827EBFFFEEEC460,,2022-09-09 15:29:02.209Z,472744492,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-105,3.5,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,39,39, +0.5, +5.8"
B827EBFFFEEEC460,,2022-09-09 15:29:03.708Z,474244732,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-104,3.5,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,36,30,30, +1.8, +4.8"
B827EBFFFEEEC460,,2022-09-09 15:29:05.209Z,475744924,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-107,3.5,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,36,30,31, +2.5, +4.8"
B827EBFFFEEEC460,,2022-09-09 15:29:06.707Z,477245164,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-107,3.2,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,36,30,32, +2.5, +5.2"
B827EBFFFEEEC460,,2022-09-09 15:29:08.210Z,478745404,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-105,3.8,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,36,30,33, +1.8, +5.0"
B827EBFFFEEEC460,,2022-09-09 15:29:09.709Z,480245596,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-106,3.8,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,36,30,34, +2.5, +5.5"
B827EBFFFEEEC460,,2022-09-09 15:29:11.211Z,481745836,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-106,3.8,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,36,30,35, +1.5, +5.5"
B827EBFFFEEEC460,,2022-09-09 15:29:12.709Z,483246076,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-107,3.8,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,36,30,36, +2.8, +5.8"
B827EBFFFEEEC460,,2022-09-09 15:29:14.210Z,484746268,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-105,3.2,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,36,30,37, +1.8, +5.5"
B827EBFFFEEEC460,,2022-09-09 15:29:15.709Z,486246508,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-106,3.8,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,36,30,38, +2.2, +5.5"
B827EBFFFEEEC460,,2022-09-09 15:29:17.210Z,487746748,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-107,3.5,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,36,30,39, +2.0, +5.2"
B827EBFFFEEEC460,,2022-09-09 15:29:18.711Z,489246948,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-106,3.5,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,36,31,30, +2.0, +5.0"
B827EBFFFEEEC460,,2022-09-09 15:29:20.209Z,490747188,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-105,3.8,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,36,31,31, +1.8, +5.5"
B827EBFFFEEEC460,,2022-09-09 15:29:21.710Z,492247420,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-105,3.5,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,36,31,32, +2.0, +5.2"
B827EBFFFEEEC460,,2022-09-09 15:29:23.210Z,493747620,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-104,4.2,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,36,31,33, +2.0, +5.0"
B827EBFFFEEEC460,,2022-09-09 15:29:24.711Z,495247860,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-105,3.2,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,36,31,34, +2.0, +4.5"
B827EBFFFEEEC460,,2022-09-09 15:29:26.212Z,496748092,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-105,3.8,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,36,31,35, +2.0, +5.2"
